Dzien	Samochod	Czas	Trasa
07.03.2022	MSO671	147	109
07.03.2022	MSO121	63	16
07.03.2022	MSO255	166	83
07.03.2022	MSO231	152	53
07.03.2022	MSO023	41	14
07.03.2022	MSO231	166	59
07.03.2022	MSO231	20	5
07.03.2022	MSO121	85	21
07.03.2022	MSO231	94	24
08.03.2022	MSO671	126	80
08.03.2022	MSO671	73	18
08.03.2022	MSO671	135	59
08.03.2022	MSO231	55	28
08.03.2022	MSO121	77	26
08.03.2022	MSO671	110	105
08.03.2022	MSO121	186	160
08.03.2022	MSO121	200	73
08.03.2022	MSO023	61	15
08.03.2022	MSO121	142	68
08.03.2022	MSO671	141	84
08.03.2022	MSO671	99	33
08.03.2022	MSO121	186	136
08.03.2022	MSO231	130	75
09.03.2022	MSO023	34	9
09.03.2022	MSO023	179	164
09.03.2022	MSO231	136	47
09.03.2022	MSO671	35	12
09.03.2022	MSO023	46	23
09.03.2022	MSO231	52	17
09.03.2022	MSO231	160	63
09.03.2022	MSO671	25	6
09.03.2022	MSO671	161	55
09.03.2022	MSO023	84	21
09.03.2022	MSO231	167	56
09.03.2022	MSO023	126	121
09.03.2022	MSO121	87	22
09.03.2022	MSO231	75	19
09.03.2022	MSO023	121	52
09.03.2022	MSO671	178	118
09.03.2022	MSO671	79	20
09.03.2022	MSO255	195	91
09.03.2022	MSO255	64	21
09.03.2022	MSO671	80	40
09.03.2022	MSO023	98	33
10.03.2022	MSO231	65	33
10.03.2022	MSO231	65	33
10.03.2022	MSO671	64	32
10.03.2022	MSO023	54	27
10.03.2022	MSO023	24	12
10.03.2022	MSO121	16	4
10.03.2022	MSO023	31	16
10.03.2022	MSO231	146	89
10.03.2022	MSO671	199	131
10.03.2022	MSO255	151	128
10.03.2022	MSO023	121	68
10.03.2022	MSO231	58	15
10.03.2022	MSO231	43	14
10.03.2022	MSO671	170	154
10.03.2022	MSO023	147	76
10.03.2022	MSO671	149	64
10.03.2022	MSO671	181	83
11.03.2022	MSO671	100	25
11.03.2022	MSO671	40	13
11.03.2022	MSO671	52	17
11.03.2022	MSO671	38	19
11.03.2022	MSO023	21	5
11.03.2022	MSO671	64	32
11.03.2022	MSO671	146	59
11.03.2022	MSO671	13	4
11.03.2022	MSO121	35	9
11.03.2022	MSO231	74	37
11.03.2022	MSO023	99	33
11.03.2022	MSO671	173	67
11.03.2022	MSO231	69	35
12.03.2022	MSO231	22	6
12.03.2022	MSO231	70	35
12.03.2022	MSO023	190	87
12.03.2022	MSO121	132	67
12.03.2022	MSO671	50	25
12.03.2022	MSO231	159	89
12.03.2022	MSO255	123	82
12.03.2022	MSO023	155	82
12.03.2022	MSO671	61	20
12.03.2022	MSO023	16	5
12.03.2022	MSO231	34	11
12.03.2022	MSO231	136	58
12.03.2022	MSO671	63	32
12.03.2022	MSO231	158	67
12.03.2022	MSO671	160	80
12.03.2022	MSO231	124	59
12.03.2022	MSO671	62	31
13.03.2022	MSO671	122	54
13.03.2022	MSO231	44	11
13.03.2022	MSO255	24	12
13.03.2022	MSO671	185	143
13.03.2022	MSO671	48	24
13.03.2022	MSO255	200	118
13.03.2022	MSO255	176	61
13.03.2022	MSO671	24	8
13.03.2022	MSO231	99	25
13.03.2022	MSO023	120	51
13.03.2022	MSO231	147	114
13.03.2022	MSO023	110	80
13.03.2022	MSO023	123	88
13.03.2022	MSO023	112	87
13.03.2022	MSO121	21	11
14.03.2022	MSO023	55	14
14.03.2022	MSO231	174	136
14.03.2022	MSO671	23	8
14.03.2022	MSO121	109	76
14.03.2022	MSO671	145	51
14.03.2022	MSO121	119	80
14.03.2022	MSO671	85	21
14.03.2022	MSO231	200	79
14.03.2022	MSO023	29	15
14.03.2022	MSO671	69	23
14.03.2022	MSO231	30	10
14.03.2022	MSO671	200	73
14.03.2022	MSO121	178	62
14.03.2022	MSO023	41	14
14.03.2022	MSO671	68	17
15.03.2022	MSO671	27	14
15.03.2022	MSO121	158	141
15.03.2022	MSO671	48	12
15.03.2022	MSO121	93	31
15.03.2022	MSO231	142	93
15.03.2022	MSO231	16	5
15.03.2022	MSO671	183	101
15.03.2022	MSO671	100	50
15.03.2022	MSO023	89	22
15.03.2022	MSO671	110	75
15.03.2022	MSO121	71	24
15.03.2022	MSO255	79	40
16.03.2022	MSO121	199	87
16.03.2022	MSO255	21	7
16.03.2022	MSO121	176	87
16.03.2022	MSO023	45	23
16.03.2022	MSO255	45	11
16.03.2022	MSO023	74	37
16.03.2022	MSO231	185	172
16.03.2022	MSO671	32	8
16.03.2022	MSO671	186	63
16.03.2022	MSO671	188	76
16.03.2022	MSO121	133	58
16.03.2022	MSO121	31	10
16.03.2022	MSO121	104	44
16.03.2022	MSO671	67	17
16.03.2022	MSO671	173	61
17.03.2022	MSO023	98	49
17.03.2022	MSO023	77	19
17.03.2022	MSO023	134	94
17.03.2022	MSO023	118	53
17.03.2022	MSO671	150	53
17.03.2022	MSO231	134	66
17.03.2022	MSO231	40	10
17.03.2022	MSO023	196	143
17.03.2022	MSO023	110	39
17.03.2022	MSO023	195	125
17.03.2022	MSO121	123	65
17.03.2022	MSO671	89	30
17.03.2022	MSO023	86	29
17.03.2022	MSO121	97	24
17.03.2022	MSO023	117	104
17.03.2022	MSO231	50	25
17.03.2022	MSO671	178	63
18.03.2022	MSO231	128	65
18.03.2022	MSO671	16	5
18.03.2022	MSO671	48	24
18.03.2022	MSO671	115	101
18.03.2022	MSO671	28	7
18.03.2022	MSO231	79	20
18.03.2022	MSO023	63	16
18.03.2022	MSO671	162	64
18.03.2022	MSO023	125	49
18.03.2022	MSO231	13	3
18.03.2022	MSO671	177	65
18.03.2022	MSO231	187	72
19.03.2022	MSO023	182	98
19.03.2022	MSO023	86	29
19.03.2022	MSO023	125	65
19.03.2022	MSO231	44	15
19.03.2022	MSO231	26	7
19.03.2022	MSO671	80	20
19.03.2022	MSO671	11	3
19.03.2022	MSO121	97	49
19.03.2022	MSO671	79	20
19.03.2022	MSO671	199	99
19.03.2022	MSO671	11	4
19.03.2022	MSO671	131	61
20.03.2022	MSO231	122	45
20.03.2022	MSO231	107	105
20.03.2022	MSO671	148	71
20.03.2022	MSO023	174	79
20.03.2022	MSO671	52	13
20.03.2022	MSO023	133	99
20.03.2022	MSO121	127	53
20.03.2022	MSO023	170	72
20.03.2022	MSO255	175	67
20.03.2022	MSO121	41	10
20.03.2022	MSO023	79	26
20.03.2022	MSO671	189	103
20.03.2022	MSO231	63	32
20.03.2022	MSO671	48	16
21.03.2022	MSO231	50	13
21.03.2022	MSO121	38	13
21.03.2022	MSO671	110	63
21.03.2022	MSO671	14	5
21.03.2022	MSO671	60	15
21.03.2022	MSO231	69	35
21.03.2022	MSO121	148	62
21.03.2022	MSO231	114	58
21.03.2022	MSO671	24	12
21.03.2022	MSO023	191	89
21.03.2022	MSO231	49	16
21.03.2022	MSO671	132	73
21.03.2022	MSO671	24	8
22.03.2022	MSO121	107	43
22.03.2022	MSO671	100	25
22.03.2022	MSO671	129	47
22.03.2022	MSO671	179	152
22.03.2022	MSO121	124	46
22.03.2022	MSO121	15	5
22.03.2022	MSO023	79	26
22.03.2022	MSO023	25	6
22.03.2022	MSO121	146	86
22.03.2022	MSO671	13	7
22.03.2022	MSO671	171	92
22.03.2022	MSO023	97	32
23.03.2022	MSO255	179	109
23.03.2022	MSO671	170	144
23.03.2022	MSO023	159	106
23.03.2022	MSO121	120	97
23.03.2022	MSO023	151	115
23.03.2022	MSO231	178	81
23.03.2022	MSO671	85	28
23.03.2022	MSO671	140	55
23.03.2022	MSO023	37	19
23.03.2022	MSO671	53	18
23.03.2022	MSO231	186	100
23.03.2022	MSO671	127	90
24.03.2022	MSO121	163	103
24.03.2022	MSO255	63	21
24.03.2022	MSO671	77	19
24.03.2022	MSO231	127	76
24.03.2022	MSO671	155	57
24.03.2022	MSO671	128	74
24.03.2022	MSO671	36	12
24.03.2022	MSO671	178	130
24.03.2022	MSO255	52	17
24.03.2022	MSO121	147	57
24.03.2022	MSO231	111	56
24.03.2022	MSO231	159	116
25.03.2022	MSO231	144	56
25.03.2022	MSO023	55	14
25.03.2022	MSO671	188	102
25.03.2022	MSO121	120	83
25.03.2022	MSO671	63	32
25.03.2022	MSO671	162	93
25.03.2022	MSO023	104	81
25.03.2022	MSO671	73	18
25.03.2022	MSO671	41	10
25.03.2022	MSO231	46	23
25.03.2022	MSO121	47	24
25.03.2022	MSO023	109	95
26.03.2022	MSO231	74	25
26.03.2022	MSO023	45	15
26.03.2022	MSO023	60	20
26.03.2022	MSO671	40	10
26.03.2022	MSO231	89	45
26.03.2022	MSO231	163	116
26.03.2022	MSO023	124	86
26.03.2022	MSO671	173	132
26.03.2022	MSO231	135	83
26.03.2022	MSO671	187	107
26.03.2022	MSO121	159	62
26.03.2022	MSO231	63	21
26.03.2022	MSO121	121	44
26.03.2022	MSO023	184	156
26.03.2022	MSO255	66	22
26.03.2022	MSO671	38	13
26.03.2022	MSO255	93	23
27.03.2022	MSO023	163	76
27.03.2022	MSO023	66	22
27.03.2022	MSO023	120	112
27.03.2022	MSO023	145	88
27.03.2022	MSO231	102	56
27.03.2022	MSO671	10	3
27.03.2022	MSO671	175	131
27.03.2022	MSO671	163	80
27.03.2022	MSO023	68	17
27.03.2022	MSO671	53	13
27.03.2022	MSO231	190	116
27.03.2022	MSO121	49	25
27.03.2022	MSO671	90	30
27.03.2022	MSO023	93	23
27.03.2022	MSO231	118	64
27.03.2022	MSO023	99	25
27.03.2022	MSO121	36	18
27.03.2022	MSO023	193	108
28.03.2022	MSO121	20	10
28.03.2022	MSO671	161	153
28.03.2022	MSO023	63	16
28.03.2022	MSO231	80	27
28.03.2022	MSO023	163	131
28.03.2022	MSO023	171	160
28.03.2022	MSO671	155	78
28.03.2022	MSO121	48	16
28.03.2022	MSO231	19	10
29.03.2022	MSO671	116	46
29.03.2022	MSO671	158	60
29.03.2022	MSO023	160	101
29.03.2022	MSO023	49	12
29.03.2022	MSO231	49	12
29.03.2022	MSO671	49	16
29.03.2022	MSO231	129	77
29.03.2022	MSO231	46	12
29.03.2022	MSO671	159	122
29.03.2022	MSO671	143	87
29.03.2022	MSO121	57	29
29.03.2022	MSO255	154	99
29.03.2022	MSO023	198	70
29.03.2022	MSO671	168	103
30.03.2022	MSO671	147	86
30.03.2022	MSO023	41	14
30.03.2022	MSO231	167	59
30.03.2022	MSO671	154	78
30.03.2022	MSO121	184	178
30.03.2022	MSO023	10	3
30.03.2022	MSO671	50	17
30.03.2022	MSO121	122	85
30.03.2022	MSO023	38	19
30.03.2022	MSO671	129	126
30.03.2022	MSO121	194	99
30.03.2022	MSO671	72	24
30.03.2022	MSO023	74	25
30.03.2022	MSO231	161	93
30.03.2022	MSO231	125	53
30.03.2022	MSO023	101	66
31.03.2022	MSO023	154	70
31.03.2022	MSO231	172	155
31.03.2022	MSO231	125	91
31.03.2022	MSO231	38	10
31.03.2022	MSO023	47	12
31.03.2022	MSO671	91	23
31.03.2022	MSO671	99	50
31.03.2022	MSO671	123	53
31.03.2022	MSO121	125	68
31.03.2022	MSO121	29	15
31.03.2022	MSO023	60	30
31.03.2022	MSO671	157	69
31.03.2022	MSO023	170	99
01.04.2022	MSO231	63	32
01.04.2022	MSO121	163	138
01.04.2022	MSO121	194	156
01.04.2022	MSO231	31	8
01.04.2022	MSO121	176	69
01.04.2022	MSO023	175	104
01.04.2022	MSO671	38	10
01.04.2022	MSO671	174	139
01.04.2022	MSO671	49	25
01.04.2022	MSO671	11	3
01.04.2022	MSO255	72	18
02.04.2022	MSO023	13	3
02.04.2022	MSO671	172	127
02.04.2022	MSO121	123	47
02.04.2022	MSO023	67	22
02.04.2022	MSO671	134	49
02.04.2022	MSO671	117	43
02.04.2022	MSO023	131	84
02.04.2022	MSO023	146	70
02.04.2022	MSO023	86	29
02.04.2022	MSO231	12	4
02.04.2022	MSO255	61	31
02.04.2022	MSO023	67	22
02.04.2022	MSO671	170	121
02.04.2022	MSO231	177	160
02.04.2022	MSO023	48	24
02.04.2022	MSO671	116	86
03.04.2022	MSO255	29	10
03.04.2022	MSO671	154	57
03.04.2022	MSO121	97	32
03.04.2022	MSO671	58	29
03.04.2022	MSO023	53	18
03.04.2022	MSO231	13	3
03.04.2022	MSO121	200	144
03.04.2022	MSO231	71	24
03.04.2022	MSO671	87	22
03.04.2022	MSO231	37	19
03.04.2022	MSO671	110	68
03.04.2022	MSO671	88	22
03.04.2022	MSO023	51	26
04.04.2022	MSO023	29	7
04.04.2022	MSO671	106	103
04.04.2022	MSO231	60	20
04.04.2022	MSO121	181	105
04.04.2022	MSO121	38	10
04.04.2022	MSO231	113	105
04.04.2022	MSO671	120	47
04.04.2022	MSO671	40	20
04.04.2022	MSO231	29	15
04.04.2022	MSO023	108	47
04.04.2022	MSO023	176	120
04.04.2022	MSO023	168	92
04.04.2022	MSO023	150	53
04.04.2022	MSO231	25	6
05.04.2022	MSO023	75	19
05.04.2022	MSO023	39	13
05.04.2022	MSO671	69	35
05.04.2022	MSO231	93	23
05.04.2022	MSO121	160	54
05.04.2022	MSO671	122	58
05.04.2022	MSO023	133	120
05.04.2022	MSO023	25	6
05.04.2022	MSO671	155	57
05.04.2022	MSO023	93	47
05.04.2022	MSO023	98	49
05.04.2022	MSO671	122	59
06.04.2022	MSO671	148	90
06.04.2022	MSO121	132	47
06.04.2022	MSO671	82	21
06.04.2022	MSO023	40	20
06.04.2022	MSO671	34	17
06.04.2022	MSO023	98	25
06.04.2022	MSO671	102	38
06.04.2022	MSO255	92	46
06.04.2022	MSO121	27	9
06.04.2022	MSO671	152	78
06.04.2022	MSO671	26	13
06.04.2022	MSO255	121	91
06.04.2022	MSO121	146	93
07.04.2022	MSO023	142	75
07.04.2022	MSO231	10	3
07.04.2022	MSO255	103	62
07.04.2022	MSO671	172	143
07.04.2022	MSO671	157	69
07.04.2022	MSO231	37	9
07.04.2022	MSO023	11	6
07.04.2022	MSO671	49	16
07.04.2022	MSO671	40	10
07.04.2022	MSO023	57	14
07.04.2022	MSO231	39	20
08.04.2022	MSO671	101	69
08.04.2022	MSO023	141	65
08.04.2022	MSO671	38	19
08.04.2022	MSO231	190	156
08.04.2022	MSO121	121	62
08.04.2022	MSO671	102	53
08.04.2022	MSO671	82	21
08.04.2022	MSO255	194	85
08.04.2022	MSO121	194	80
08.04.2022	MSO231	94	24
09.04.2022	MSO671	111	59
09.04.2022	MSO231	127	43
09.04.2022	MSO023	180	65
09.04.2022	MSO121	162	77
09.04.2022	MSO671	166	102
09.04.2022	MSO023	92	31
09.04.2022	MSO121	119	72
09.04.2022	MSO671	140	136
09.04.2022	MSO671	75	19
09.04.2022	MSO671	138	131
09.04.2022	MSO023	102	61
09.04.2022	MSO231	124	88
09.04.2022	MSO255	43	11
09.04.2022	MSO671	196	99
10.04.2022	MSO023	192	92
10.04.2022	MSO671	84	28
10.04.2022	MSO231	106	70
10.04.2022	MSO671	132	67
10.04.2022	MSO023	107	49
10.04.2022	MSO671	95	24
10.04.2022	MSO671	137	65
10.04.2022	MSO023	125	48
10.04.2022	MSO023	145	50
10.04.2022	MSO121	186	69
11.04.2022	MSO231	53	13
11.04.2022	MSO671	97	49
11.04.2022	MSO023	195	100
11.04.2022	MSO231	59	15
11.04.2022	MSO671	89	22
11.04.2022	MSO023	50	13
11.04.2022	MSO121	77	39
11.04.2022	MSO671	157	70
11.04.2022	MSO121	69	23
11.04.2022	MSO671	157	90
11.04.2022	MSO231	177	95
11.04.2022	MSO023	30	15
11.04.2022	MSO023	186	152
11.04.2022	MSO671	113	47
11.04.2022	MSO671	181	81
11.04.2022	MSO231	179	102
11.04.2022	MSO231	64	32
12.04.2022	MSO023	46	23
12.04.2022	MSO121	118	45
12.04.2022	MSO671	107	75
12.04.2022	MSO121	14	7
12.04.2022	MSO023	18	9
12.04.2022	MSO671	88	29
12.04.2022	MSO671	198	103
12.04.2022	MSO023	119	78
12.04.2022	MSO671	52	13
13.04.2022	MSO121	165	77
13.04.2022	MSO671	179	69
13.04.2022	MSO671	86	22
13.04.2022	MSO231	45	15
13.04.2022	MSO671	51	13
13.04.2022	MSO671	10	3
13.04.2022	MSO671	188	140
13.04.2022	MSO255	121	42
13.04.2022	MSO671	60	30
13.04.2022	MSO023	71	18
13.04.2022	MSO671	177	71
13.04.2022	MSO671	140	49
13.04.2022	MSO671	85	43
13.04.2022	MSO121	92	23
14.04.2022	MSO671	179	174
14.04.2022	MSO023	118	53
14.04.2022	MSO231	59	30
14.04.2022	MSO121	30	8
14.04.2022	MSO023	97	24
14.04.2022	MSO671	175	95
14.04.2022	MSO023	40	13
14.04.2022	MSO671	177	159
14.04.2022	MSO023	200	161
14.04.2022	MSO671	139	68
14.04.2022	MSO671	10	3
14.04.2022	MSO023	114	73
14.04.2022	MSO121	172	58
14.04.2022	MSO023	10	5
14.04.2022	MSO231	136	88
14.04.2022	MSO023	86	22
15.04.2022	MSO671	73	18
15.04.2022	MSO023	49	16
15.04.2022	MSO231	151	63
15.04.2022	MSO023	21	5
15.04.2022	MSO023	64	32
15.04.2022	MSO023	195	163
15.04.2022	MSO255	122	82
15.04.2022	MSO671	50	17
15.04.2022	MSO121	61	20
15.04.2022	MSO121	128	89
15.04.2022	MSO023	130	44
15.04.2022	MSO023	136	85
15.04.2022	MSO023	82	27
15.04.2022	MSO671	18	6
15.04.2022	MSO231	73	24
15.04.2022	MSO121	199	81
15.04.2022	MSO121	113	88
15.04.2022	MSO671	123	88
16.04.2022	MSO671	114	111
16.04.2022	MSO023	138	48
16.04.2022	MSO231	56	28
16.04.2022	MSO023	118	49
16.04.2022	MSO231	26	7
16.04.2022	MSO121	33	11
16.04.2022	MSO023	14	4
16.04.2022	MSO231	63	32
16.04.2022	MSO121	121	101
16.04.2022	MSO671	75	19
16.04.2022	MSO121	184	70
17.04.2022	MSO671	61	31
17.04.2022	MSO231	165	115
17.04.2022	MSO121	160	152
17.04.2022	MSO671	26	13
17.04.2022	MSO671	124	75
17.04.2022	MSO231	131	44
17.04.2022	MSO671	131	103
17.04.2022	MSO121	111	88
17.04.2022	MSO671	165	65
17.04.2022	MSO231	162	78
17.04.2022	MSO231	89	45
17.04.2022	MSO023	45	15
17.04.2022	MSO121	62	21
17.04.2022	MSO121	194	86
17.04.2022	MSO671	29	15
17.04.2022	MSO671	165	73
17.04.2022	MSO671	152	67
17.04.2022	MSO023	156	151
17.04.2022	MSO121	192	115
18.04.2022	MSO023	15	5
18.04.2022	MSO231	185	183
18.04.2022	MSO121	37	9
18.04.2022	MSO023	97	49
18.04.2022	MSO255	18	5
18.04.2022	MSO671	141	93
18.04.2022	MSO671	172	151
18.04.2022	MSO023	133	65
18.04.2022	MSO671	23	8
18.04.2022	MSO023	118	42
19.04.2022	MSO023	78	26
19.04.2022	MSO671	102	36
19.04.2022	MSO023	25	8
19.04.2022	MSO231	186	69
19.04.2022	MSO671	54	27
19.04.2022	MSO671	190	78
19.04.2022	MSO231	30	15
19.04.2022	MSO671	24	6
19.04.2022	MSO671	103	69
19.04.2022	MSO023	134	96
19.04.2022	MSO023	165	75
19.04.2022	MSO671	104	93
19.04.2022	MSO023	83	21
19.04.2022	MSO023	145	76
19.04.2022	MSO671	71	18
20.04.2022	MSO231	49	16
20.04.2022	MSO231	76	19
20.04.2022	MSO671	34	9
20.04.2022	MSO023	110	74
20.04.2022	MSO671	63	32
20.04.2022	MSO671	127	45
20.04.2022	MSO671	60	30
20.04.2022	MSO671	189	95
20.04.2022	MSO023	154	81
20.04.2022	MSO671	191	117
20.04.2022	MSO121	29	15
20.04.2022	MSO121	159	71
20.04.2022	MSO671	12	6
20.04.2022	MSO023	153	98
20.04.2022	MSO023	180	91
20.04.2022	MSO671	153	112
20.04.2022	MSO231	131	111
20.04.2022	MSO023	73	24
20.04.2022	MSO671	198	155
20.04.2022	MSO023	119	46
20.04.2022	MSO671	27	7
20.04.2022	MSO121	126	93
20.04.2022	MSO231	48	16
21.04.2022	MSO023	124	74
21.04.2022	MSO121	170	105
21.04.2022	MSO671	177	73
21.04.2022	MSO231	115	55
21.04.2022	MSO231	33	11
21.04.2022	MSO231	199	144
21.04.2022	MSO231	50	13
21.04.2022	MSO023	175	71
22.04.2022	MSO231	118	45
22.04.2022	MSO023	161	139
22.04.2022	MSO121	51	13
22.04.2022	MSO023	94	31
22.04.2022	MSO121	189	64
22.04.2022	MSO023	115	90
22.04.2022	MSO023	21	7
22.04.2022	MSO231	178	115
22.04.2022	MSO023	112	39
22.04.2022	MSO121	125	78
22.04.2022	MSO023	182	106
22.04.2022	MSO231	21	11
22.04.2022	MSO671	139	50
22.04.2022	MSO023	90	30
23.04.2022	MSO231	131	56
23.04.2022	MSO023	184	68
23.04.2022	MSO231	149	50
23.04.2022	MSO121	129	109
23.04.2022	MSO671	80	20
23.04.2022	MSO231	182	65
23.04.2022	MSO121	161	66
23.04.2022	MSO671	36	12
23.04.2022	MSO671	55	18
23.04.2022	MSO231	114	55
23.04.2022	MSO121	23	6
23.04.2022	MSO231	80	27
23.04.2022	MSO671	113	97
23.04.2022	MSO231	196	163
24.04.2022	MSO231	184	140
24.04.2022	MSO671	90	45
24.04.2022	MSO671	49	12
24.04.2022	MSO255	110	38
24.04.2022	MSO121	129	114
24.04.2022	MSO023	198	72
24.04.2022	MSO121	55	18
24.04.2022	MSO255	98	49
24.04.2022	MSO121	135	59
24.04.2022	MSO023	109	82
24.04.2022	MSO671	155	78
24.04.2022	MSO671	82	41
24.04.2022	MSO671	149	63
24.04.2022	MSO121	189	108
24.04.2022	MSO121	129	103
24.04.2022	MSO231	186	75
24.04.2022	MSO671	65	22
25.04.2022	MSO671	160	141
25.04.2022	MSO671	118	42
25.04.2022	MSO023	130	78
25.04.2022	MSO671	17	9
25.04.2022	MSO023	187	75
25.04.2022	MSO671	70	35
25.04.2022	MSO671	104	58
25.04.2022	MSO671	50	17
25.04.2022	MSO671	115	39
25.04.2022	MSO671	182	148
25.04.2022	MSO023	52	17
25.04.2022	MSO023	184	166
25.04.2022	MSO255	158	65
25.04.2022	MSO671	99	33
26.04.2022	MSO671	181	62
26.04.2022	MSO671	198	96
26.04.2022	MSO121	121	92
26.04.2022	MSO231	55	14
26.04.2022	MSO671	148	66
26.04.2022	MSO121	61	15
26.04.2022	MSO023	125	54
26.04.2022	MSO121	116	56
26.04.2022	MSO671	55	28
26.04.2022	MSO023	148	114
26.04.2022	MSO231	72	24
26.04.2022	MSO121	171	82
26.04.2022	MSO231	148	61
26.04.2022	MSO231	21	11
26.04.2022	MSO231	63	21
26.04.2022	MSO023	56	14
26.04.2022	MSO023	77	19
26.04.2022	MSO121	120	67
26.04.2022	MSO671	105	47
27.04.2022	MSO231	83	42
27.04.2022	MSO231	114	106
27.04.2022	MSO023	93	23
27.04.2022	MSO231	54	14
27.04.2022	MSO671	94	24
27.04.2022	MSO671	157	94
27.04.2022	MSO671	166	109
27.04.2022	MSO671	33	11
27.04.2022	MSO671	140	60
27.04.2022	MSO023	188	83
27.04.2022	MSO671	48	16
27.04.2022	MSO671	66	33
27.04.2022	MSO231	150	71
28.04.2022	MSO023	55	28
28.04.2022	MSO121	161	59
28.04.2022	MSO671	34	9
28.04.2022	MSO231	85	28
28.04.2022	MSO671	21	7
28.04.2022	MSO231	171	73
28.04.2022	MSO671	95	32
28.04.2022	MSO231	40	20
28.04.2022	MSO671	100	50
29.04.2022	MSO023	173	60
29.04.2022	MSO231	22	6
29.04.2022	MSO671	171	139
29.04.2022	MSO671	127	50
29.04.2022	MSO231	139	69
29.04.2022	MSO231	51	26
29.04.2022	MSO023	63	21
29.04.2022	MSO671	20	5
30.04.2022	MSO671	114	57
30.04.2022	MSO671	194	137
30.04.2022	MSO671	146	59
30.04.2022	MSO671	107	40
30.04.2022	MSO231	81	27
30.04.2022	MSO121	46	23
30.04.2022	MSO671	184	74
30.04.2022	MSO121	158	76
30.04.2022	MSO231	188	69
30.04.2022	MSO023	165	162
30.04.2022	MSO121	63	21
30.04.2022	MSO231	192	185
30.04.2022	MSO671	181	84
01.05.2022	MSO671	39	10
01.05.2022	MSO255	130	88
01.05.2022	MSO023	174	124
01.05.2022	MSO671	22	11
01.05.2022	MSO023	26	13
01.05.2022	MSO671	101	55
01.05.2022	MSO121	10	5
01.05.2022	MSO671	101	55
01.05.2022	MSO671	130	45
01.05.2022	MSO121	191	84
01.05.2022	MSO671	176	122
01.05.2022	MSO671	17	6
01.05.2022	MSO023	111	75
01.05.2022	MSO671	125	48
01.05.2022	MSO231	51	26
01.05.2022	MSO231	86	29
01.05.2022	MSO671	40	10
01.05.2022	MSO231	172	170
01.05.2022	MSO671	155	65
02.05.2022	MSO231	113	49
02.05.2022	MSO671	117	58
02.05.2022	MSO121	89	22
02.05.2022	MSO671	67	34
02.05.2022	MSO255	195	80
02.05.2022	MSO023	168	133
02.05.2022	MSO231	36	12
02.05.2022	MSO121	157	120
02.05.2022	MSO671	109	42
02.05.2022	MSO023	196	76
02.05.2022	MSO023	55	18
02.05.2022	MSO671	128	62
02.05.2022	MSO671	136	109
02.05.2022	MSO671	152	73
02.05.2022	MSO255	54	27
03.05.2022	MSO023	99	25
03.05.2022	MSO671	169	164
03.05.2022	MSO023	173	62
03.05.2022	MSO671	98	33
03.05.2022	MSO671	104	66
03.05.2022	MSO231	53	27
03.05.2022	MSO231	175	84
03.05.2022	MSO023	48	12
03.05.2022	MSO671	177	63
03.05.2022	MSO023	36	9
03.05.2022	MSO671	187	134
03.05.2022	MSO671	61	15
04.05.2022	MSO231	172	58
04.05.2022	MSO671	26	9
04.05.2022	MSO671	195	106
04.05.2022	MSO023	14	5
04.05.2022	MSO231	140	125
04.05.2022	MSO121	35	9
05.05.2022	MSO671	158	133
05.05.2022	MSO671	80	40
05.05.2022	MSO121	59	30
05.05.2022	MSO671	68	23
05.05.2022	MSO023	18	6
05.05.2022	MSO255	74	25
05.05.2022	MSO023	141	48
05.05.2022	MSO671	115	58
05.05.2022	MSO023	62	16
05.05.2022	MSO671	200	184
05.05.2022	MSO121	63	16
06.05.2022	MSO671	137	71
06.05.2022	MSO231	113	63
06.05.2022	MSO121	134	47
06.05.2022	MSO023	31	8
06.05.2022	MSO231	160	93
06.05.2022	MSO671	100	50
06.05.2022	MSO023	122	62
06.05.2022	MSO231	82	21
06.05.2022	MSO671	187	164
06.05.2022	MSO231	48	16
06.05.2022	MSO231	106	39
06.05.2022	MSO023	138	56
06.05.2022	MSO121	20	5
06.05.2022	MSO671	24	6
07.05.2022	MSO671	30	15
07.05.2022	MSO121	162	65
07.05.2022	MSO671	52	26
07.05.2022	MSO671	134	65
08.05.2022	MSO231	49	25
08.05.2022	MSO121	69	23
08.05.2022	MSO023	87	29
08.05.2022	MSO231	134	75
08.05.2022	MSO121	27	7
08.05.2022	MSO023	112	44
08.05.2022	MSO231	94	24
08.05.2022	MSO023	50	25
08.05.2022	MSO023	93	31
08.05.2022	MSO231	80	20
08.05.2022	MSO023	36	9
08.05.2022	MSO231	30	15
08.05.2022	MSO231	155	82
09.05.2022	MSO023	134	49
09.05.2022	MSO231	146	96
09.05.2022	MSO671	19	5
09.05.2022	MSO121	84	28
09.05.2022	MSO023	22	11
09.05.2022	MSO231	123	101
09.05.2022	MSO121	148	50
09.05.2022	MSO121	185	100
09.05.2022	MSO121	128	51
09.05.2022	MSO023	137	85
09.05.2022	MSO231	142	125
09.05.2022	MSO023	73	18
09.05.2022	MSO671	41	21
09.05.2022	MSO671	112	44
09.05.2022	MSO671	169	67
10.05.2022	MSO023	18	6
10.05.2022	MSO023	78	39
10.05.2022	MSO023	87	44
10.05.2022	MSO121	93	31
10.05.2022	MSO671	61	15
10.05.2022	MSO121	169	161
10.05.2022	MSO671	60	30
10.05.2022	MSO671	133	94
